step	loss
0	1.4519485235214233
1	1.6507866382598877
2	1.2674158811569214
3	1.3260860443115234
4	1.357042670249939
5	1.2510987520217896
6	1.2318471670150757
7	1.2226420640945435
8	1.1866930723190308
9	1.154085636138916
10	1.2182000875473022
11	1.2500442266464233
12	1.1284618377685547
13	1.1023974418640137
14	1.1178480386734009
15	1.1313806772232056
16	1.1044247150421143
17	1.1410822868347168
18	0.9549655914306641
19	1.0772849321365356
20	1.0687181949615479
21	1.0375787019729614
22	1.064037799835205
23	1.0046504735946655
24	1.1191344261169434
25	0.9801549315452576
26	0.8929930329322815
27	0.9891967177391052
28	0.9677064418792725
29	0.968392550945282
30	0.9281481504440308
31	0.9756116271018982
32	1.005876064300537
33	0.9854488968849182
34	0.9548343420028687
35	0.8614776134490967
36	0.8551594614982605
37	0.8347736597061157
38	0.8779321312904358
39	0.9179751873016357
40	0.8884607553482056
41	0.8090028166770935
42	0.8724176287651062
43	0.8143431544303894
44	0.8358026742935181
45	0.8126159310340881
46	0.7837523221969604
47	0.7617754340171814
48	0.7723058462142944
49	0.7843543887138367
50	0.7902218699455261
51	0.7683287858963013
52	0.8227316737174988
53	0.8295653462409973
54	0.7848740816116333
55	0.6926705241203308
56	0.8419800996780396
57	0.6676769256591797
58	0.6767701506614685
59	0.8001444339752197
60	0.6847605109214783
61	0.6861323714256287
62	0.7010958790779114
63	0.7484570145606995
64	0.6325299143791199
65	0.6684151887893677
66	0.6536308526992798
67	0.6800917983055115
68	0.6967976093292236
69	0.6911030411720276
70	0.6814357042312622
71	0.5998386144638062
72	0.6258601546287537
73	0.6910517811775208
74	0.6513527631759644
75	0.6237538456916809
76	0.6117957234382629
77	0.5939568281173706
78	0.6259968876838684
79	0.6127052307128906
80	0.6005200743675232
81	0.6263754367828369
82	0.6004133224487305
83	0.5519391894340515
84	0.5708796977996826
85	0.5895521640777588
86	0.6015607714653015
87	0.5260544419288635
88	0.6465262770652771
89	0.5410848259925842
90	0.5440341234207153
91	0.6093147397041321
92	0.5477173328399658
93	0.5484060049057007
94	0.5698955655097961
95	0.5397128462791443
96	0.5705897212028503
97	0.5872927904129028
98	0.5644972920417786
99	0.535148561000824
